DateTime,OKX Open,OKX High,OKX Low,OKX Close,OKX Volume,OKX Spread,OKX Percentage Change,Binance Open,Binance High,Binance Low,Binance Close,Binance Volume,Binance Close Time,Binance Quote Asset Volume,Binance Number of Trades,Binance Taker buy base asset volume,Binance Taker buy quote asset volume,Binance Spread,Binance Percentage Change,Close Price Difference
1707523200000,117.9,118.24,117.9,118.08,181.507098,0.3399999999999892,0.33137904664797396,117.78000000,118.18000000,117.78000000,117.97000000,383.64000000,,,,,,0.4000000000000057,0,0.10999999999999943
1707523260000,118.02,118.03,117.8,117.97,99.567587,0.23000000000000398,-0.09315718157181524,117.95000000,117.98000000,117.73000000,117.90000000,332.08000000,,,,,,0.25,-0.05933711960667388,0.06999999999999318
1707523320000,117.97,118,117.92,117.96,12.271087,0.0799999999999983,-0.008476731372387147,117.89000000,117.99000000,117.87000000,117.92000000,61.44000000,,,,,,0.11999999999999034,0.01696352841390672,0.03999999999999204
1707523380000,117.88,117.9,117.88,117.9,3.4,0.020000000000010232,-0.050864699898260486,117.90000000,117.90000000,117.80000000,117.87000000,91.70000000,,,,,,0.10000000000000853,-0.04240162822252133,0.030000000000001137
1707523440000,117.91,117.91,117.75,117.9,7.108953,0.1599999999999966,0.0,117.90000000,117.90000000,117.75000000,117.90000000,93.24000000,,,,,,0.15000000000000568,0.025451768897939372,0.0
1707523500000,118,118.03,117.99,117.99,6.843453,0.04000000000000625,0.07633587786258626,117.90000000,118.00000000,117.90000000,117.94000000,54.02000000,,,,,,0.09999999999999432,0.03392705682781344,0.04999999999999716
1707523560000,117.86,117.86,117.66,117.78,3.585357,0.20000000000000284,-0.17798118484616812,117.98000000,117.98000000,117.67000000,117.77000000,214.56000000,,,,,,0.3100000000000023,-0.14414108868916542,0.010000000000005116
1707523620000,117.75,117.75,117.75,117.75,0.8,0.0,-0.025471217524198623,117.73000000,117.80000000,117.73000000,117.75000000,14.58000000,,,,,,0.06999999999999318,-0.01698225354504205,0.0
1707523680000,117.75,117.82,117.75,117.82,1.4,0.06999999999999318,0.05944798301485621,117.70000000,117.79000000,117.67000000,117.79000000,16.54000000,,,,,,0.12000000000000455,0.03397027600849788,0.029999999999986926
1707523740000,117.82,117.88,117.82,117.85,5.76729,0.060000000000002274,0.025462570022068528,117.78000000,117.86000000,117.76000000,117.80000000,31.85000000,,,,,,0.09999999999999432,0.008489685032677566,0.04999999999999716
1707523800000,117.88,118,117.88,117.97,20.662993,0.12000000000000455,0.10182435299109423,117.92000000,117.96000000,117.88000000,117.91000000,462.56000000,,,,,,0.0799999999999983,0.09337860780984672,0.060000000000002274
1707523860000,117.97,117.97,117.97,117.97,0,0.0,0.0,117.87000000,117.87000000,117.82000000,117.85000000,25.28000000,,,,,,0.05000000000001137,-0.05088626918836593,0.12000000000000455
1707523920000,117.97,117.97,117.97,117.97,0,0.0,0.0,117.89000000,117.89000000,117.86000000,117.86000000,2.93000000,,,,,,0.030000000000001137,0.008485362749261873,0.10999999999999943
1707523980000,117.95,117.97,117.88,117.97,27.405848,0.09000000000000341,0.0,117.87000000,117.91000000,117.86000000,117.91000000,16.15000000,,,,,,0.04999999999999716,0.04242321398268892,0.060000000000002274
1707524040000,117.9,117.93,117.9,117.93,2.6,0.030000000000001137,-0.03390692548952449,117.93000000,117.93000000,117.86000000,117.89000000,74.84000000,,,,,,0.07000000000000739,-0.016962089729451294,0.04000000000000625
1707524100000,117.93,117.93,117.93,117.93,0,0.0,0.0,117.90000000,117.91000000,117.89000000,117.90000000,48.32000000,,,,,,0.01999999999999602,0.008482483671223272,0.030000000000001137
1707524160000,117.88,117.97,117.87,117.97,5.634077,0.09999999999999432,0.033918426185018266,117.91000000,117.93000000,117.84000000,117.93000000,71.72000000,,,,,,0.09000000000000341,0.025445292620866103,0.03999999999999204
1707524220000,117.97,118.08,117.97,117.98,25.687002,0.10999999999999943,0.008476731372387147,117.94000000,118.05000000,117.88000000,117.88000000,75.33000000,,,,,,0.1700000000000017,-0.042398032731290905,0.10000000000000853
1707524280000,117.99,117.99,117.93,117.93,2.138,0.05999999999998806,-0.042380064417695505,117.98000000,117.99000000,117.88000000,117.88000000,8.28000000,,,,,,0.10999999999999943,0.0,0.05000000000001137
1707524340000,117.93,117.93,117.93,117.93,0,0.0,0.0,117.92000000,117.94000000,117.86000000,117.88000000,138.78000000,,,,,,0.0799999999999983,0.0,0.05000000000001137
1707524400000,117.84,117.84,117.75,117.75,3.840109,0.09000000000000341,-0.15263291783261834,117.88000000,117.89000000,117.69000000,117.69000000,68.31000000,,,,,,0.20000000000000284,-0.16118086189344905,0.060000000000002274
1707524460000,117.75,117.75,117.75,117.75,0,0.0,0.0,117.70000000,117.78000000,117.70000000,117.78000000,21.16000000,,,,,,0.0799999999999983,0.07647208768799678,-0.030000000000001137
1707524520000,117.75,117.75,117.75,117.75,0,0.0,0.0,117.78000000,117.78000000,117.77000000,117.77000000,2.43000000,,,,,,0.010000000000005116,-0.008490405841403563,-0.01999999999999602
1707524580000,117.75,117.75,117.75,117.75,0,0.0,0.0,117.79000000,117.82000000,117.79000000,117.82000000,8.05000000,,,,,,0.029999999999986926,0.042455633862611156,-0.06999999999999318
1707524640000,117.79,117.79,117.79,117.79,0.76923,0.0,0.03397027600849788,117.84000000,117.92000000,117.84000000,117.92000000,12.22000000,,,,,,0.0799999999999983,0.08487523340689912,-0.12999999999999545
1707524700000,117.79,117.79,117.79,117.79,0,0.0,0.0,117.92000000,117.92000000,117.85000000,117.90000000,140.84000000,,,,,,0.07000000000000739,-0.01696065128900612,-0.10999999999999943
1707524760000,117.79,117.79,117.79,117.79,0,0.0,0.0,117.90000000,117.92000000,117.90000000,117.90000000,28.25000000,,,,,,0.01999999999999602,0.0,-0.10999999999999943
1707524820000,117.81,117.87,117.79,117.87,32.109743,0.0799999999999983,0.06791748026148084,117.86000000,117.86000000,117.82000000,117.84000000,45.74000000,,,,,,0.04000000000000625,-0.050890585241732206,0.030000000000001137
1707524880000,117.87,117.87,117.87,117.87,3.5,0.0,0.0,117.91000000,117.91000000,117.88000000,117.88000000,6.23000000,,,,,,0.030000000000001137,0.0339443312966667,-0.009999999999990905
1707524940000,117.86,117.87,117.86,117.87,72.488712,0.010000000000005116,0.0,117.85000000,117.88000000,117.84000000,117.88000000,10.68000000,,,,,,0.03999999999999204,0.0,-0.009999999999990905
1707525000000,117.92,117.94,117.85,117.94,30.161782,0.09000000000000341,0.059387460761850495,117.89000000,117.94000000,117.86000000,117.94000000,73.36000000,,,,,,0.0799999999999983,0.050899219545302236,0.0
1707525060000,117.86,117.86,117.86,117.86,100,0.0,-0.06783110055960513,117.95000000,117.95000000,117.81000000,117.81000000,307.98000000,,,,,,0.14000000000000057,-0.11022553840935685,0.04999999999999716
1707525120000,117.86,117.86,117.86,117.86,0,0.0,0.0,117.76000000,117.77000000,117.69000000,117.69000000,12.92000000,,,,,,0.0799999999999983,-0.101858925388341,0.1700000000000017
1707525180000,117.6,117.6,117.58,117.58,4.105987,0.01999999999999602,-0.23756999830307238,117.65000000,117.65000000,117.59000000,117.59000000,10.40000000,,,,,,0.060000000000002274,-0.08496898631998838,-0.010000000000005116
1707525240000,117.67,117.71,117.66,117.71,47.816135,0.04999999999999716,0.11056302092192163,117.64000000,117.73000000,117.64000000,117.72000000,100.10000000,,,,,,0.09000000000000341,0.11055361850497104,-0.010000000000005116
1707525300000,117.85,117.85,117.85,117.85,2.720697,0.0,0.11893636904256272,117.76000000,117.83000000,117.76000000,117.78000000,22.67000000,,,,,,0.06999999999999318,0.050968399592254736,0.06999999999999318
1707525360000,117.85,117.85,117.85,117.85,0,0.0,0.0,117.74000000,117.74000000,117.66000000,117.66000000,11.75000000,,,,,,0.0799999999999983,-0.10188487009679449,0.18999999999999773
1707525420000,117.61,117.61,117.6,117.6,5.163394,0.010000000000005116,-0.21213406873143828,117.62000000,117.62000000,117.62000000,117.62000000,2.71000000,,,,,,0.0,-0.033996260411347984,-0.020000000000010232
1707525480000,117.6,117.6,117.6,117.6,0.036016,0.0,0.0,117.65000000,117.65000000,117.58000000,117.59000000,191.80000000,,,,,,0.07000000000000739,-0.025505866349261296,0.009999999999990905
1707525540000,117.6,117.6,117.55,117.55,7.989555,0.04999999999999716,-0.04251700680271867,117.57000000,117.59000000,117.56000000,117.56000000,39.00000000,,,,,,0.030000000000001137,-0.02551237350114902,-0.010000000000005116
1707525600000,117.52,117.64,117.52,117.64,6.660667,0.12000000000000455,0.07656316461080682,117.56000000,117.59000000,117.51000000,117.59000000,143.17000000,,,,,,0.0799999999999983,0.025518883974141832,0.04999999999999716
1707525660000,117.55,117.63,117.52,117.63,5.245059,0.10999999999999943,-0.008500510030606185,117.61000000,117.61000000,117.46000000,117.56000000,315.95000000,,,,,,0.15000000000000568,-0.02551237350114902,0.06999999999999318
1707525720000,117.63,117.63,117.63,117.63,0,0.0,0.0,117.59000000,117.60000000,117.56000000,117.60000000,12.34000000,,,,,,0.03999999999999204,0.03402517863218105,0.030000000000001137
1707525780000,117.63,117.73,117.62,117.73,61.618822,0.10999999999999943,0.08501232678739142,117.62000000,117.64000000,117.62000000,117.64000000,10.65000000,,,,,,0.01999999999999602,0.03401360544218219,0.09000000000000341
1707525840000,117.73,117.73,117.73,117.73,0,0.0,0.0,117.68000000,117.70000000,117.68000000,117.69000000,28.81000000,,,,,,0.01999999999999602,0.04250255015300676,0.04000000000000625
1707525900000,117.62,117.62,117.35,117.35,58.815052,0.27000000000001023,-0.3227724454259829,117.69000000,117.69000000,117.39000000,117.39000000,109.20000000,,,,,,0.29999999999999716,-0.25490695895997717,-0.04000000000000625
1707525960000,117.33,117.42,117.33,117.42,5.956885,0.09000000000000341,0.05965061780997648,117.39000000,117.40000000,117.35000000,117.37000000,124.17000000,,,,,,0.05000000000001137,-0.01703722633954853,0.04999999999999716
1707526020000,117.42,117.42,117.42,117.42,0,0.0,0.0,117.35000000,117.41000000,117.34000000,117.41000000,25.04000000,,,,,,0.06999999999999318,0.03408025900996169,0.010000000000005116
