DateTime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
1698798300000,113.09000000,113.19000000,113.00000000,113.16000000,182.70000000,1698798359999,20667.55010000,155,40.76000000,4610.66810000
1698798360000,113.16000000,113.23000000,113.06000000,113.18000000,40.79000000,1698798419999,4616.23320000,60,36.89000000,4174.90470000
1698798420000,113.19000000,113.47000000,113.05000000,113.17000000,594.09000000,1698798479999,67297.22040000,286,507.95000000,57550.51800000
1698798480000,113.15000000,113.17000000,112.90000000,113.17000000,145.71000000,1698798539999,16468.18950000,180,59.96000000,6777.83380000
1698798540000,113.17000000,113.50000000,113.12000000,113.45000000,324.45000000,1698798599999,36768.54450000,370,198.42000000,22490.51260000
1698798600000,113.28000000,113.40000000,112.99000000,113.00000000,138.75000000,1698798659999,15705.70900000,239,93.60000000,10595.48170000
1698798660000,113.00000000,113.38000000,113.00000000,113.26000000,215.80000000,1698798719999,24435.02470000,145,173.75000000,19676.84990000
1698798720000,113.23000000,113.55000000,113.14000000,113.41000000,341.41000000,1698798779999,38730.03380000,202,104.79000000,11883.96750000
1698798780000,113.45000000,113.65000000,113.31000000,113.63000000,183.45000000,1698798839999,20826.06840000,198,137.77000000,15644.35470000
1698798840000,113.62000000,114.00000000,113.51000000,113.79000000,1132.87000000,1698798899999,129055.01520000,397,644.49000000,73399.95600000
1698798900000,113.79000000,113.90000000,113.65000000,113.66000000,114.00000000,1698798959999,12971.18010000,99,52.43000000,5965.05390000
1698798960000,113.68000000,113.99000000,113.68000000,113.95000000,104.55000000,1698799019999,11902.89480000,105,78.78000000,8968.44790000
1698799020000,113.98000000,114.44000000,113.87000000,114.29000000,372.85000000,1698799079999,42558.90450000,383,264.92000000,30244.85230000
1698799080000,114.34000000,114.90000000,114.05000000,114.90000000,683.43000000,1698799139999,78283.95140000,613,488.54000000,55974.44770000
1698799140000,114.89000000,115.43000000,114.86000000,115.10000000,1194.12000000,1698799199999,137442.60220000,979,916.73000000,105527.87370000
1698799200000,115.09000000,115.73000000,114.97000000,115.08000000,922.96000000,1698799259999,106592.72050000,592,516.40000000,59632.30890000
1698799260000,115.15000000,115.28000000,114.71000000,114.87000000,278.13000000,1698799319999,31972.45450000,347,128.28000000,14762.27760000
1698799320000,114.85000000,115.41000000,114.85000000,115.41000000,218.20000000,1698799379999,25113.23510000,172,174.49000000,20082.58490000
1698799380000,115.36000000,115.36000000,114.58000000,114.70000000,232.91000000,1698799439999,26769.39540000,216,131.57000000,15123.78050000
1698799440000,114.66000000,115.08000000,114.62000000,114.82000000,190.08000000,1698799499999,21840.21720000,158,107.45000000,12350.91500000
1698799500000,114.82000000,115.26000000,114.82000000,114.98000000,82.99000000,1698799559999,9548.29930000,116,32.42000000,3732.02040000
1698799560000,115.01000000,115.30000000,114.97000000,115.12000000,202.60000000,1698799619999,23322.00730000,140,93.15000000,10726.75030000
